# AeroScout
parameter,independent_variables,3
alpha[deg],beta[deg],rudder[deg],Cx,Cy,Cz,Cl,Cm,Cn
-13.333333333333,0.0,-25.0,-0.010780476963,-0.063142164948,0.000937013561,-0.002934967131,0.007531347191,0.029642732597
-13.333333333333,0.0,-18.75,-0.007148187275,-0.05180727794,0.000672373823,-0.002347877022,0.00529457138,0.024170558344
-13.333333333333,0.0,-12.5,-0.00385752868,-0.035967296732,0.00041792973,-0.001663586995,0.003035430006,0.016730115433
-13.333333333333,0.0,-6.25,-0.001340695719,-0.017863756414,0.00018821959,-0.000846130183,0.001117106656,0.008308752527
-13.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.333333333333,0.0,6.25,-0.001340695719,0.017863756414,0.00018821959,0.000846130183,0.001117106656,-0.008308752527
-13.333333333333,0.0,12.5,-0.00385752868,0.035967296732,0.00041792973,0.001663586995,0.003035430006,-0.016730115433
-13.333333333333,0.0,18.75,-0.007148187275,0.05180727794,0.000672373823,0.002347877022,0.00529457138,-0.024170558344
-13.333333333333,0.0,25.0,-0.010780476963,0.063142164948,0.000937013561,0.002934967131,0.007531347191,-0.029642732597
-13.333333333333,5.0,-25.0,-0.012740959263,-0.061279421403,-0.003447628068,-0.002985183158,-0.00327032101,0.028866871534
-13.333333333333,5.0,-18.75,-0.008560484596,-0.048810315271,-0.002823870121,-0.002380404919,-0.003509284067,0.022877422507
-13.333333333333,5.0,-12.5,-0.004783170226,-0.03442277702,-0.002048777923,-0.001680535533,-0.00317914744,0.016062299363
-13.333333333333,5.0,-6.25,-0.001720747962,-0.017418415052,-0.001061369704,-0.000851248848,-0.001983931416,0.008115404334
-13.333333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.333333333333,5.0,6.25,-0.001361703214,0.017208039801,0.001439179356,0.000839394379,0.004290380689,-0.00801523422
-13.333333333333,5.0,12.5,-0.004052447647,0.033738087791,0.002882409313,0.001643472327,0.009184042235,-0.015732174816
-13.333333333333,5.0,18.75,-0.007493201732,0.047507934213,0.004158020907,0.002310895407,0.01398086954,-0.022245011185
-13.333333333333,5.0,25.0,-0.011360821365,0.059279284747,0.005309279208,0.002879198886,0.018648024552,-0.02789021576
-13.333333333333,10.0,-25.0,-0.011978097449,-0.062213795134,-0.002335258855,-0.003158821776,-0.000395501513,0.029299107676
-13.333333333333,10.0,-18.75,-0.007982086327,-0.049483971431,-0.001966950573,-0.002511538891,-0.001465352345,0.023189826582
