# AeroScout
parameter,independent_variables,3
alpha[deg],beta[deg],elevator[deg],Cx,Cy,Cz,Cl,Cm,Cn
-16.666666666667,-5.0,15.0,-0.038202770824,0.002200986658,-0.208089116568,-0.000837362985,-0.51503392048,-0.000818836656
-16.666666666667,-5.0,20.0,-0.055085312012,0.002757130055,-0.262817122264,-0.001065971062,-0.650159295807,-0.001023530921
-16.666666666667,0.0,-20.0,-0.017570272419,0.0,0.281283290948,-0.0,0.69829177475,-0.0
-16.666666666667,0.0,-15.0,-0.008836965644,0.0,0.2198296597,-0.0,0.54559094926,-0.0
-16.666666666667,0.0,-10.0,-0.002316572431,0.0,0.150957753989,-0.0,0.374544353136,-0.0
-16.666666666667,0.0,-5.0,0.000861273458,0.0,0.074976834892,-0.0,0.185960830837,-0.0
-16.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,0.0,5.0,-0.009408138748,0.0,-0.073329215407,-0.0,-0.181586170582,-0.0
-16.666666666667,0.0,10.0,-0.022736985527,0.0,-0.145332906234,0.0,-0.35981231262,-0.0
-16.666666666667,0.0,15.0,-0.038340831042,-0.0,-0.208594054464,-0.0,-0.516168314268,-0.0
-16.666666666667,0.0,20.0,-0.055297790629,0.0,-0.263470101133,0.0,-0.651624955149,-0.0
-16.666666666667,5.0,-20.0,-0.017562430477,0.002529955563,0.280666395392,-0.001085845693,0.696880725108,-0.000926015577
-16.666666666667,5.0,-15.0,-0.00884757506,0.001954908127,0.21934126535,-0.000850256098,0.544476108809,-0.000714611499
-16.666666666667,5.0,-10.0,-0.002335318671,0.001323665862,0.15061804163,-0.000585466223,0.373770688717,-0.000483014814
-16.666666666667,5.0,-5.0,0.000845893394,0.000644538034,0.07480537092,-0.000291829229,0.185571111144,-0.000234577288
-16.666666666667,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,5.0,5.0,-0.009382341166,-0.000794740142,-0.073158616767,0.000289494469,-0.181177543262,0.00029731114
-16.666666666667,5.0,10.0,-0.022678867164,-0.001558156096,-0.144985547075,0.000578620115,-0.359023538821,0.000581662961
-16.666666666667,5.0,15.0,-0.038202770824,-0.002200986658,-0.208089116568,0.000837362985,-0.51503392048,0.000818836656
-16.666666666667,5.0,20.0,-0.055085312012,-0.002757130055,-0.262817122264,0.001065971062,-0.650159295807,0.001023530921
-16.666666666667,10.0,-20.0,-0.017696517086,0.00541563891,0.278768411745,-0.002178652946,0.692405695754,-0.002007300823
-16.666666666667,10.0,-15.0,-0.009007646517,0.004181201228,0.217831946602,-0.001705404467,0.540895548963,-0.00154645575
-16.666666666667,10.0,-10.0,-0.002487843241,0.002821989295,0.149568533146,-0.001173894078,0.371246872807,-0.00104044064
-16.666666666667,10.0,-5.0,0.000744681796,0.001370287304,0.07427619972,-0.000584928565,0.184236609047,-0.00050314814
-16.666666666667,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,10.0,5.0,-0.009281566044,-0.001665486823,-0.072634984269,0.000579232146,-0.180056422635,0.000625178889
