# AeroScout
parameter,independent_variables,2
alpha[deg],qbar,Cx,Cy,Cz,Cl,Cm,Cn
10.0,-0.006991370104,-0.001670855779,0.0,0.018545438546,0.0,0.077099566979,-0.0
10.0,-0.005243527578,-0.001379795738,0.0,0.013954922,0.0,0.057921380145,-0.0
10.0,-0.003495685052,-0.001004580777,0.0,0.00933558614,0.0,0.038683136988,-0.0
10.0,-0.001747842526,-0.000544797212,-0.0,0.004684813216,0.0,0.019378208452,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.001747842526,0.00063028671,-0.0,-0.004721441588,0.0,-0.019458046914,0.0
10.0,0.003495685052,0.001346568988,0.0,-0.009482084083,0.0,-0.039002454009,-0.0
10.0,0.005243527578,0.002149382492,-0.0,-0.014284485409,0.0,-0.058639709122,0.0
10.0,0.006991370104,0.003039295645,-0.0,-0.019131215842,0.0,-0.078376341033,0.0
10.0,0.008739212631,0.004018108961,0.0,-0.024025346361,-0.0,-0.098220290085,0.0
13.333333333333,-0.008739212631,-0.00358133265,0.0,0.021945618829,-0.0,0.097806979052,-0.0
13.333333333333,-0.006991370104,-0.003039942908,-0.0,0.017644994491,-0.0,0.078441496022,0.0
13.333333333333,-0.005243527578,-0.002411987143,-0.0,0.013302793302,-0.0,0.058984864089,0.0
13.333333333333,-0.003495685052,-0.001696894204,0.0,0.008916430996,0.0,0.039430534774,0.0
13.333333333333,-0.001747842526,-0.000894007697,-0.0,0.004483229478,-0.0,0.019771696423,0.0
13.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.333333333333,0.001747842526,0.000989518481,-0.0,-0.004535332938,0.0,-0.019890101675,0.0
13.333333333333,0.003495685052,0.002076593305,-0.0,-0.009125106382,-0.0,-0.039904652191,0.0
13.333333333333,0.005243527578,0.003263154552,0.0,-0.013771784727,0.0,-0.060050014132,0.0
13.333333333333,0.006991370104,0.00455121615,0.0,-0.018477827398,-0.0,-0.080332546109,0.0
13.333333333333,0.008739212631,0.005942886528,-0.0,-0.023245675629,-0.0,-0.100758569905,0.0
16.666666666667,-0.008739212631,-0.005632505851,-0.0,0.021271867767,0.0,0.100299634849,-0.0
16.666666666667,-0.006991370104,-0.004709047853,-0.0,0.01713697812,-0.0,0.080512993825,-0.0
16.666666666667,-0.005243527578,-0.003686168389,0.0,0.012944841046,-0.0,0.060596153941,-0.0
16.666666666667,-0.003495685052,-0.002561815237,-0.0,0.008692953886,-0.0,0.040542655352,0.0
16.666666666667,-0.001747842526,-0.001333841231,-0.0,0.004378829045,-0.0,0.020346066699,0.0
16.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.666666666667,0.001747842526,0.001442055038,-0.0,-0.004445977068,0.0,-0.020501885376,-0.0
16.666666666667,0.003495685052,0.002994771107,0.0,-0.008961522523,0.0,-0.041165880954,-0.0
16.666666666667,0.005243527578,0.004660696353,-0.0,-0.013549032804,0.0,-0.06199822807,-0.0
