# AeroScout
parameter,independent_variables,2
alpha[deg],pbar,Cx,Cy,Cz,Cl,Cm,Cn
13.333333333333,-0.022776546739,0.000342577968,0.002852457295,-0.000495219703,0.012904649799,-0.000107584327,0.003055117985
13.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.333333333333,0.022776546739,0.000342577968,-0.002852457295,-0.000495219703,-0.012904649799,-0.000107584327,-0.003055117985
13.333333333333,0.045553093477,0.001370532484,-0.005707907756,-0.001980163092,-0.025827586509,-0.000428870352,-0.006115183234
13.333333333333,0.068329640216,0.003084823223,-0.00856574314,-0.004453596992,-0.038787069094,-0.000962348218,-0.009186731316
13.333333333333,0.091106186954,0.005487045637,-0.011428087536,-0.007913311746,-0.051801568437,-0.001705015655,-0.012275019117
13.333333333333,0.113882733693,0.008579455226,-0.014296601644,-0.01235624009,-0.064889489799,-0.002652804992,-0.015385478359
16.666666666667,-0.113882733693,0.009425410695,0.013101658916,-0.014466858739,0.068497820295,-0.003241235807,0.020383138794
16.666666666667,-0.091106186954,0.006104889186,0.010463599638,-0.009431781558,0.054685719943,-0.002051082848,0.016272187438
16.666666666667,-0.068329640216,0.003452827308,0.007833430955,-0.005354364694,0.040948907733,-0.00114562365,0.012184286791
16.666666666667,-0.045553093477,0.001496485665,0.005215471927,-0.002291263305,0.027268488601,-0.000521589721,0.008113742202
16.666666666667,-0.022776546739,0.000386995304,0.002604749244,-0.000602818757,0.013624767109,-0.000125669185,0.004054671315
16.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.666666666667,0.022776546739,0.000386995304,-0.002604749244,-0.000602818757,-0.013624767109,-0.000125669185,-0.004054671315
16.666666666667,0.045553093477,0.001496485665,-0.005215471927,-0.002291263305,-0.027268488601,-0.000521589721,-0.008113742202
16.666666666667,0.068329640216,0.003452827308,-0.007833430955,-0.005354364694,-0.040948907733,-0.00114562365,-0.012184286791
16.666666666667,0.091106186954,0.006104889186,-0.010463599638,-0.009431781558,-0.054685719943,-0.002051082848,-0.016272187438
16.666666666667,0.113882733693,0.009425410695,-0.013101658916,-0.014466858739,-0.068497820295,-0.003241235807,-0.020383138794
20.0,-0.113882733693,0.010615263498,0.012529710389,-0.016854703916,0.072983803854,-0.003668931756,0.025396969709
20.0,-0.091106186954,0.006791047971,0.010010030807,-0.01079071197,0.05827542214,-0.002347370945,0.020274184985
20.0,-0.068329640216,0.003818774367,0.007499392228,-0.006071375927,0.043641414181,-0.001320025003,0.015180337507
20.0,-0.045553093477,0.001696853262,0.004995670976,-0.002698887771,0.029063235602,-0.000586548466,0.010108185366
20.0,-0.022776546739,0.000424155835,0.002496645825,-0.000674795031,0.014522302276,-0.000146616517,0.005050483563
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.022776546739,0.000424155835,-0.002496645825,-0.000674795031,-0.014522302276,-0.000146616517,-0.005050483563
20.0,0.045553093477,0.001696853262,-0.004995670976,-0.002698887771,-0.029063235602,-0.000586548466,-0.010108185366
20.0,0.068329640216,0.003818774367,-0.007499392228,-0.006071375927,-0.043641414181,-0.001320025003,-0.015180337507
20.0,0.091106186954,0.006791047971,-0.010010030807,-0.01079071197,-0.05827542214,-0.002347370945,-0.020274184985
20.0,0.113882733693,0.010615263498,-0.012529710389,-0.016854703916,-0.072983803854,-0.003668931756,-0.025396969709
