# AeroScout
parameter,independent_variables,2
alpha[deg],rbar,Cx,Cy,Cz,Cl,Cm,Cn
-13.333333333333,0.006326818538,2.954006e-06,0.00098562968,-4.518598e-06,-0.000395781379,-1.1287127e-05,-0.000765851598
-13.333333333333,0.012653637077,1.7585216e-05,0.00196092244,9.618813e-06,-0.000791514116,2.2667834e-05,-0.001527162724
-13.333333333333,0.018980455615,4.3717494e-05,0.002938587242,3.7673958e-05,-0.001187151379,9.0038271e-05,-0.002289541904
-10.0,-0.018980455615,2.5633656e-05,-0.002742294759,-4.040949e-06,0.000599568173,-4.3856e-07,0.002169133848
-10.0,-0.012653637077,1.1368414e-05,-0.001818749806,-1.803076e-06,0.000400258443,-2.0651e-07,0.001441959758
-10.0,-0.006326818538,2.83804e-06,-0.000906167356,-4.52026e-07,0.00020031354,-5.3704e-08,0.000719578215
-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.0,0.006326818538,2.83804e-06,0.000906167356,-4.52026e-07,-0.00020031354,-5.3704e-08,-0.000719578215
-10.0,0.012653637077,1.1368414e-05,0.001818749806,-1.803076e-06,-0.000400258443,-2.0651e-07,-0.001441959758
-10.0,0.018980455615,2.5633656e-05,0.002742294759,-4.040949e-06,-0.000599568173,-4.3856e-07,-0.002169133848
-6.666666666667,-0.018980455615,2.9066348e-05,-0.002774761064,-6.719328e-06,-1.7192735e-05,-1.739633e-06,0.00214441036
-6.666666666667,-0.012653637077,1.2903854e-05,-0.001838726213,-2.391779e-06,-1.1675195e-05,7.65553e-07,0.00142482552
-6.666666666667,-0.006326818538,3.232591e-06,-0.000914472767,-6.2399e-07,-6.007617e-06,1.48267e-07,0.000710316715
-6.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.666666666667,0.006326818538,3.232591e-06,0.000914472767,-6.2399e-07,6.007617e-06,1.48267e-07,-0.000710316715
-6.666666666667,0.012653637077,1.2903854e-05,0.001838726213,-2.391779e-06,1.1675195e-05,7.65553e-07,-0.00142482552
-6.666666666667,0.018980455615,2.9066348e-05,0.002774761064,-6.719328e-06,1.7192735e-05,-1.739633e-06,-0.00214441036
-3.333333333333,-0.018980455615,3.880082e-05,-0.003193964827,2.9205659e-05,-0.000686470237,8.4815509e-05,0.002289287688
-3.333333333333,-0.012653637077,1.6477372e-05,-0.002129704742,1.198178e-06,-0.000457277211,8.667499e-06,0.001526269447
-3.333333333333,-0.006326818538,3.44595e-06,-0.001078266266,-1.0961248e-05,-0.000228576499,-2.5576545e-05,0.00076892811
-3.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.333333333333,0.006326818538,3.44595e-06,0.001078266266,-1.0961248e-05,0.000228576499,-2.5576545e-05,-0.00076892811
